,p,a
1684,Pārdošanas vadītājs/-a,2250
1685,Expansion Manager / Sales Manager,2250
1686,Lietvedības un biroja vadītājs/-a,1700
1687,Viesnīcas administrators,280
1688,Modelētājs /-a (darbs ražošanā),240
1689,Finanšu biznesa partneris/-e,3200
1690,Automobiļu reģistrators/-e,2000
1691,Politikas iniciatīvu un attīstības departamenta vecākais eksperts/-e,1920
1692,Attīstības un projektu vadības departamenta projektu vadītājs (uz noteiktu laiku),2000
1693,Specializēto automobiļu vadītāji/-as,2450
1694,Uzkopšanas darbu vadītājs,1700
1695,Koksnes drupināšanas iekārtas operatori/-es,2700
1696,Metinātājs/-a,1700
1697,"Pārdevējs/-a Circle K Kurbada (Kurbada iela 8, Rīga)",240
1698,Granulu rūpnīcas vadītājs (Jēkabpilī),4250
1699,Pārdošanas speciālists/-e (darbs ar izejošajiem zvaniem),1450
1700,Test Automation Architect,5250
1701,Area Sales Manager,2300
1702,Data Scientist,3400
1703,Finanšu analītiķis/-e,2700
1704,Rasētājs/-a,1650
1705,Country Sales Manager,2650
1706,Apkopes nodaļas vadītāja asistente/-s,1600
1707,"Farmaceits/e un Farmaceita asistents/e Rīgā, Sarkandaugavā",1300
1708,Būvniecības projektu vadītājs/-e,3100
1709,Norwegian Speaking Customer Service Specialist,1575
1710,Partnerships manager,3061
1711,SharePoint Developer,3500
1712,Dynamics 365 CRM Developer,3900
1713,Radiologa asistents/radiogrāfers Diagnostiskās radioloģijas dienestā,1620
1714,Mežkopības meistars/-e Ziemeļkurzemes reģiona Talsu novada teritorijā,1887
1715,Pārdošanas Konsultants/-e,1095
1716,Datu kvalitātes speciālists/-e Citadele Leasing,1800
1717,Klientu un pacientu reģistrators/-e,200
1718,Apdrošināšanas konsultants/-e Gulbenē,1025
1719,Lauksaimniecības tehnikas mehāniķis Rēzeknē,2100
1720,Klientu apkalpošanas speciālists/-e  Pretenziju apstrādes nodaļā,1625
1721,Junior Project Manager (F/M/D) I Ignitis Renewables,2495
1722,Mārketinga un komunikāciju speciālists/-e,1600
1723,Pakomātu attīstības projektu vadītājs,2000
1724,E-komercijas noliktavas speciālists,240
1725,Klientu apkalpošanas un pārdošanas speciālists/-e,1500
1726,Loģistikas speciālists/-e,1750
1727,Transporta būvju uzturēšanas nodaļas CEĻU BŪVINŽENIERIS,2099
1728,Vecākais iepirkumu speciālists/-e uz noteiktu laiku,1000
1729,Lauksaimniecības darbu vadītājs/-a / agronoms/-e,2500
1730,VECĀKAIS PROJEKTA VADĪTĀJS Attīstības un stratēģiskās plānošanas daļā,2500
1731,Salesforce Administrator,1850
1732,Data Management Specialist,1375
1733,IT projektu vadītājs/-a,3500
1734,Vecākais pakomātu projektu vadītājs,2300
1735,Vadošais serveru administrators/-e,2600
1736,Projektu administrators/-e,1900
1737,Senior IT Support Specialist / Vecākais/-ā IT atbalsta speciālists/-e,2250
1738,Autosalona administrators (-e),1150
1739,Payroll Specialist,2650
1740,Biznesa kontrolieris/-e,2500
1741,Galvenais Grāmatvedis,2500
1742,Teritoriju uzkopšanas darbu vadītāju/-a,1900
1743,Risku analītiķis,2225
1744,Autoservisa konsultants/-e/ transportlīdzekļu pieņēmējs/-a,1700
1745,Project Development Manager (F/M/D) I Ignitis Renewables,3169
1746,"Apdrošināšanas konsultants/-e tirdzniecības centros ""Akropole Alfa"", ""Sāga"", ""Spice""",1050
1747,Autoelektriķis - Diagnostiķis,2750
1748,Accountant with German language skills,1900
1749,"Pārdevējs/-a Instrumentu nodaļā Rīgā, Mazā Rencēnu ielā 1",240
1750,Mārketinga speciālists/-e,1700
1751,Integrētā mārketinga speciālists,2000
1752,Projektu vadītājs/-a Grantu projektu nodaļā (uz noteiktu laiku),2450
1753,Integration Developer,3400
1754,Junior Security Management Consultant,1950
1755,Loģistikas speciālists,1300
1756,"Pārdevējs/-a Circle K Ziepniekkalns(Ziepniekkalna iela 9, Rīga)",240
1757,Farmaceits/e un Farmaceita asistents/e Dobelē,1300
1758,"Pārdevējs/-a Santehnikas un HEPAC nodaļās - Rīgā, Mazā Rencēnu ielā 1",240
1759,"Pārdevējs/-a Krāsu nodaļā Mazā Rencēnu ielā 1, Rīgā",240
1760,Personāla speciālists (-e),1400
1761,Junior Fraud Specialist,1800
1762,Būvdarbu vadītājs,3250
1763,Arhitekts/ Tehniķis,2100
1764,Vājstrāvu sistēmu projektētājs,2100
1765,Nekustamā īpašuma pārvaldnieks,2000
1766,IS lietotāju atbalsta speciālists/-e,1600
1767,Finanšu speciālists,2050
1768,Produktu attīstības speciālists/-e - Tehnologs/-ģe,1750
1769,Internship in Investor Service AML Team,700
1770,Junior Sales Analyst / Demand Planner,1500
1771,EKONOMISTS/-E Finanšu pārvaldes Ekonomikas nodaļā,1258
1772,Personāla atlases konsultants/-e,1850
1773,Degvielas uzpildes stacijas vadītājs,1017
1774,Reģionālais tirdzniecības pārstāvis,2100
1775,Road Transport Project Manager,3500
1776,Tele2 pārdošanas speciālists t/c Origo Rīgā,1300
1777,Projekta vadītājs/-a,1800
1778,Departamenta direktora vietnieks/-ce STEM izglītības jautājumos,2500
1779,Konstruktors/-e,1800
1780,Klientu apkalpošanas speciālists nodaļā,1002
1781,Metālapstrādātājs/-a - Metinātājs/-a,1207
1782,Inženieris tehnologs  Produktu attīstības projektu vadītājs/a,2750
1783,Kreditoru grāmatvedis/-e,1400
1784,IT Technical Support Specialist,400
1785,Kreditoru grāmatvedis/-e,1400
1786,Swedish Speaking Customer Consultant,1650
1787,Grāmatveža palīgs/-dze - Rēķinvedis/-e,1260
1788,Social Media Ads Specialist / Social Media Marketing Manager,2050
1789,Digital Marketing Manager,2250
1790,"YouTube host who speaks either English, Spanish, Russian, French, or German",2000
1791,Galvenais redaktors/-e,2100
1792,Juriskonsults/-e (Intelektuālā īpašuma jomā),1800
1793,Apdrošināšanas konsultants/-e Bauskā,1025
1794,Servisa tehniķis/-e,1550
1795,Datu zinātnieks/-ce,2200
1796,Jaunākais Biznesa Attīstības Projektu Vadītājs/-a Latvijā,1900
1797,Ekologs/-ģe,2000
1798,Iekārtu preventīvo darbu mehāniķis,3300
1799,Personāla speciālists/-e,1350
1800,Internship in Investor Service Team,700
1801,Korporatīvo klientu menedžeris/Менеджер по корпоративным клиентам,2150
1802,JAVA  programmētājs/-a,3000
1803,Pārdošanas speciālists,2000
1804,Vecākais projektu vadītājs/-a,2738
1805,Consumer Activation Manager Latvia,3300
1806,PROJEKTU VADĪTĀJS/-A digitālo prasmju iniciatīvu jomā,1635
1807,Testētājs/-a,2750
1808,Middle/ Senior Java Developer,5100
1809,Jurists/-e,1800
1810,Jaunākais PostgreSQL datu bāzes administrators/-e,2000
1811,PostgreSQL datu bāzes administrators/-e,3050
1812,Vecākais pārdošanas atbalsta administrators,1818
1813,Kredītu un riska nodaļas speciālists (-e),1250
1814,Finanšu konsultants (-e) Kontaktu centra nodaļā,1700
1815,Finanšu konsultants/-e Rīgas Pārdaugavas nodaļā,1300
1816,Finanšu konsultants/-e Rīgas Centra nodaļā,1300
1817,Klientu konsultants/-e Ādažos,1325
1818,Biroja administrators(e)/Lietvedis(e),1450
1819,Būvinženieris/-e,2400
1820,Tele2 pārdošanas speciālits t/c Dole Rīgā,1150
1821,Tele2 pārdošanas speciālists t/c Akropole Rīgā,1300
1822,Akustisko mērījumu inženieris,1525
1823,Jurists/-e – iepirkumu projektu vadītājs/-a,1800
1824,Elektroapgādes un automatizācijas projektu inženieris/-e,2200
1825,Energopārvaldības inženieris/-e,2100
1826,DevOps Integration Engineer,5250
1827,Biroja vadošais lietvedis (atkārtots konkurss),1400
1828,Support & Moderation Team Leader,2000
1829,Avio pārvadājumu loģistikas speciālists/-e,1500
1830,Projektu saskaņošanas sektora inženierkomunikāciju piesaistes inženieris/-e,1960
1831,VEIKALA APRANGA PĀRDEVĒJS/-A - KONSULTANTS/-E TC DOMINA,1075
1832,Juridiskās un pirmstiesas strīdu izskatīšanas pārvaldes Pirmās tiesvedības daļas jurists,1911
1833,Inženiersistēmu servisa projektu vadītājs/-a,2050
1834,Iekšējais auditors,3300
1835,Pārdošanas speciālists/-e,1397
1836,Juridisko personu parādu atgūšanas daļas Pirmās nodaļas nodokļu inspektors,1226
1837,Juridisko personu parādu atgūšanas daļas Pirmās nodaļas nodokļu inspektors,1226
1838,Juridisko personu parādu atgūšanas daļas Pirmās nodaļas nodokļu inspektors,1226
1839,Juridisko personu parādu atgūšanas daļas Pirmās nodaļas nodokļu inspektors,1226
1840,Biroja administrators/-e (uz noteiktu laiku),1400
1841,Tele2 pārdošanas speciālists t/c Dauga Ogrē ( uz noteiktu laiku),1175
1842,Tele2 centra līderis t/c Dole Rīgā,1550
1843,Tele2 pārdošanas speciālists t/c Tobago Ventspilī,1175
1844,Native English Speaker from United Kingdom,2925
1845,Vecākais/-ā informāciju sistēmu programmētājs/-a (Back-End),4000
1846,Importa speciālists/-e,1585
1847,"Sales specialist, Sales manager",2250
1848,Mazlietotu automobiļu tirdzniecības konsultants/-e,2000
1849,Asistenta pakalpojuma pašvaldībā administrēšanas nodaļas vadītājs/-a,2200
1850,Product Owner E-Commerce,3541
1851,Produktu grupas vadītājs/-a,2600
1852,Pārdošanas speciālista asistents/-e,1250
1853,Darba aizsardzības nodaļas vadītājs/-a,3250
1854,Eksperts/-e projektu atlases jomā,1644
1855,Vecākais eksperts/-e projektu atlases jomā,1965
1856,Vecākais eksperts/-e risku vadības jautājumos,1997
1857,Jurists,2400
1858,.NET Developer,3700
1859,Tehniskās kontroles speciālists/-e,1500
1860,Digital Merchandiser / Digitālā mārketinga speciālists/-e,2250
1861,IT risinājumu un integrāciju inženieris/-e,6250
1862,Mācību projektu vadītājs/-a,1750
1863,IT drošības operāciju vadītājs/-a,4750
1864,Kravas automobiļa vadītājs/-a,280
1865,Uzņēmuma monitoringa inženieris/-e,5000
1866,Mārketinga tehniskais asistents,1525
1867,Metālapstrādes darbgaldu operators,1100
1868,Vecākais kasieris/-e,1041
1869,Vecākais kasieris/-e,1041
1870,NOLIKTAVAS DARBINIEKS,1100
1871,Carrier Procurement Specialist,2500
1872,"UI/UX Designer, Hospital Health System",3615
1873,"Senior Scala Developer, Cruise Company",4875
1874,"Senior Business Analyst, Cruise Company",3450
1875,Žogu un vārtu montieri,1400
1876,IT tehniskā atbalsta nodaļas Informācijas sistēmu administrators (vecākais speciālists),2900
1877,Galvenais grāmatvedis/-e,2769
1878,Vadošais programmēšanas inženieris/-e,2600
1879,Pārdošanas komandas vadītājs/-a,3750
1880,Vecākais sistēmanalītiķis/-e,2500
1881,Tehniskās dokumentācijas rakstītājs/-a,1400
1882,Junior Sales Consultant,2200
1883,Junior GIS Specialist (F/M/D) I Ignitis Renewables Latvia,1674
1884,Konditorejas un maizes produktu pārtikas tehnologs - konsultants,2200
1885,Jaunākais/-ā Pārdošanas Konsultants/-e,2200
1886,Quality Control Inspector,1400
1887,Biznesa procesu un sistēmu analītiķis/-e,2700
1888,Warehouse Specialist,1950
1889,Piena produktu ražošanas iekārtu operators/-e,1160
1890,Projektu vadītājs/-a Digitalizācijas un informācijas sistēmu attīstības nodaļā,2850
1891,Kvalitātes kontroles speciālists/-e,1500
1892,piena produktu pasterizācijas operators (-e),1260
1893,Skaņas inženieris/ skaņotājs,1700
1894,Sistēmu arhitekts/-e,3120
1895,Scrum Master,3550
1896,Asistenta pakalpojuma pašvaldībā administrēšanas nodaļas vadītāja vietnieks/-ce,1900
1897,Pārdošanas speciālists/e enerģētikā,2600
1898,Biroja administratore/-s,1850
1899,Junior Information Systems Security Administrator,1700
1900,Jurists/-e,2500
1901,IT Project Manager/IT Projektu Vadītājs,3000
1902,Senior IT Project Manager,3750
1903,Darbs būvniecības nozarē Vācijā,2500
1904,Tirdzniecības pārstāvis/-e Jelgavā,1800
1905,Mechanical Engineer / Mehānikas inženieris/-e,2400
1906,Junior recruiter,1650
1907,Noliktavas pārziņa palīgs/-dze,1400
1908,IT projektu vadītājs/-a,2910
1909,IT biznesa analītiķis/-e,2220
1910,Rūpniecisko iekārtu montieris,1500
1911,Kvalitātes vadības sistēmu speciālists/-e,1800
1912,Project Risk Analyst (F/M/D) | Ignitis Renewables,2495
1913,Noliktavas darbinieks,1000
1914,Customer Service/Sales Specialist / Klientu apkalpošanas/pārdošanas speciālists/-e,1590
1915,Praktikants/-e Nodokļu konsultāciju nodaļas Transfertcenu komandā,620
1916,"Speciālists darbam ar kosmētiku Apotheka Health & Beauty Lidostā ""Rīga""",1400
1917,B2B projektu menedžeris/-e (B2B Project Manager),1400
1918,IT Incident Manager,2050
1919,Informācijas tehnoloģiju departamenta Informācijas tehnoloģiju attīstības daļas  sistēmu analītiķis,2050
1920,Personāla speciālists / Рекрутер,2000
1921,Senior Finance Controller,3000
1922,Pakalpojumu vadītājs,1800
1923,Pakomātu tehniskā atbalsta speciālists,1500
1924,Reģionālais vadītājs,2750
1925,System Administrator,2600
1926,Jaunākais iepirkumu speciālists,1700
1927,IT Sistēmu ieviešanas projektu vadītāju,1800
1928,Legal project lead / Legal manager,3250
1929,Tāmētāja asistents/-e,1200
1930,Vecākais kvalitātes vadības speciālists,2000
1931,Pārdošanas speciālists/-e,1700
1932,Mid/Senior Software Engineer / Programmatūras izstrādātājs/-a (Mid/Senior līmenis),7500
1933,Materiālu pārzinis/-e,200
1934,HEAD OF BUSINESS DEVELOPMENT BALTICS,6000
1935,Pārdošanas menedžeris/-e,2186
1936,Juriskonsults/-e (KAKD FN),1900
1937,Līgumpartneru departamenta Zemgales nodaļas vecākais/-ā lietvedis/-e,1237
1938,Creative Copywriter,2400
1939,Multimediju dizaina speciālists/-e,1200
1940,TV biznesa vadītājs/-a,4000
1941,Stratēģiskās biznesa plānošanas vadītājs/-a,3000
1942,Programmatūras testētājs/a (Attālināti),1950
1943,Jaunākais ekonomists-datu analītiķis/-e,1475
1944,KMA un A elektroatslēdznieks/-ce,1600
1945,KMA un A elektroatslēdznieks/-ce,1600
1946,Ekonomists/-e,2250
1947,QA Automation Engineer (Java),2800
1948,French Speaking Logistic Support Specialist for USA,1500
1949,Nodokļu konsultants/-e,2750
1950,Projektu vadītājs/-ja (Sadarbībai ar ārstiem - speciālistiem),2800
1951,IT projektu vadītājs(-a),3250
1952,Projektu vadītājs,1800
1953,Sistēmanalītiķis/-e,2750
1954,Lidl Plus Coupon and Content Specialist,1550
1955,Digital Project Manager,4000
1956,Junior Food Promotions Specialist,1500
1957,Arhitekts/ Būvprojektu vadītājs,2150
1958,Projektu vadītājs,1900
1959,Vecākais grāmatvedis/-e,2300
1960,SEO Project manager,6500
1961,Content Reviewer in Romania,1708
1962,Biroja administrators/-e,1050
1963,Medicīnas iekārtu servisa inženieris/-e,2200
1964,Tehniķis - Elektriķis,1550
1965,Pārdošanas projektu vadītājs (biznesa un industriālo parku noma),3000
1966,Vājstrāvu sistēmu tehniķis,1955
1967,Komandas atbalsta vadītājs,1850
1968,Baltic Product Manager for Commercial Risks,3650
1969,Arhitekts/e - Projektētājs/a,2150
1970,"Transporta koordinators /-e,  dispečers /-e",1500
1971,Zīmolu pārdošanas vadītājs/-a,2000
1972,Vecākais transakciju monitoringa speciālists/-e,2200
1973,Servisa projektu vadītāja asistents/ -e,1350
1974,Vājstrāvu tehniķis (Ugunsdrošības un drošības sistēmas),1600
1975,Eksporta pārdošanas menedžeris,3200
1976,Tāmētājs/-a,2650
1977,Senior DevOps Engineer,5500
1978,Technical Sales Specialist,2500
1979,Objekta būvdarbu vadītājs (-a) Rīgā,3050
1980,Tehniskais ražošanas asistents,1700
1981,"Noliktavas darbinieks/-ce Rīgā, Lucavsalas ielā 3",240
1982,Klīniskais psihologs Paliatīvās aprūpes dienestā,1620
1983,Business Development Manager (payment acquiring),2800
1984,Business Analyst,2050
1985,Key Account Manager,1700
1986,Software Developer,3450
1987,Tehniskais speciālists,1400
1988,Mehāniķis,1700
1989,Elektronikas/Radioinženieri,2000
1990,Datu apstrādes speciālists/-e (SAP),1300
1991,Farmaceits/e un Farmaceita asistents/e Jelgavā (Darbs nedēļas nogalēs),1300
1992,Technical support engineer (payment acquiring),2500
1993,Zvanu centra vadītājs/-a,1950
1994,Junior Account Manager,1897
1995,Aukstuma iekārtu tehniķis/-e,1800
1996,Junior Digital Marketing Specialist,1350
1997,Category Manager for CPG,3300
1998,Palīgstrādnieks/-ce,810
1999,Communications Specialist B2C,1250
2000,Junior Account Manager,1950
2001,BIS datu ievades operators/ -e,1400
2002,Business Analyst,2500
2003,Projektu vadītājs (ELT/ EST/ KT),3000
2004,Mehatroniķis/-e,1675
2005,Kvalitātes vadības sistēmu speciālists/ -e,2000
2006,Pakomātu projektu vadītājs,1500
2007,"Veselības, ceļojumu un nelaimes gadījumu atlīdzību nodaļas eksperts (uz noteiktu laiku)",1569
2008,Legal Assistant,1850
2009,praktikants/-e  Darījumu konsultāciju - M&A  komandā,815
2010,Senior Lawyer,3750
2011,Ergoterapeits/-e (2 vakances),1605
2012,Galvenais/-ā Grāmatvedis/-e,2750
2013,Senior Consultant Audit & Assurance,2450
2014,PHP Full-stack programmētājs/-a,3700
2015,QA Testētājs,2350
2016,Personāla speciālists,1400
2017,Operations Specialist/Manager,1100
2018,Produktu grupas vadītāja asistents Mēbeļu kategorijā,1500
2019,būvdarbu vadītājs ( ceļu būves joma),2500
2020,Ražošanas iekārtu mehāniķis/metālapstrādātājs/-a,1460
2021,HR Speciālists/-e,2000
2022,Projektu vadītāju asistents/-e,1125
2023,Office Manager,1400
2024,Microsoft Dynamics AX (Axapta) Specialist,2500
2025,Social Media Marketing Manager,2150
2026,Grāmatvedis/-e,1650
2027,Field Service Engineer / Servisa inženieris/-e,1750
2028,Klientu atbalsta speciālists,1450
2029,Nekustamo īpašumu aģents/-e / mākleris/-e (Liepājā vai Rīgā),3000
2030,Projekta finananšu kontrolieris/-e,2000
2031,Team Manager,2000
2032,Farmaceite/-s vai Farmaceita asistente/-s,1450
2033,App Store Optimization (ASO) specialist,1400
2034,Grāmatvedis/-e,1500
2035,Direktors/-e,5000
2036,Personāla daļas vadītājs/-a,3410
2037,Projektu asistents/-e,1250
2038,Dinamisks Pārdošanas Speciālists (digitālajā izstrādes aģentūrā),1500
2039,Medicīnas pārstāvis,2800
2040,Pārdevējs/-a Circle K Ulmanis2 (K.Ulmaņa gatve 117) darbs bez nakts maiņām,240
2041,Social Media Ads Specialist / Social Media Marketing Manager,2050
2042,Būvdarbu vadītājs (kontakttīkli),2500
2043,Klientu apkalpošanas speciālists,1190
2044,"Master Data Specialist, Tietoevry Latvia",1400
2045,Actuary,2500
2046,Datu ievades speciālists,1200
2047,Arhitekts/-e,3000
2048,Senior JavaScript Developer-Software Engineer,4250
2049,Senior PHP Developer-Software Engineer,4250
2050,Arhitekta palīgs/ palīdze,2300
2051,Client support with different languages,1500
2052,Mašīnmācīšanās eksperts/-e,2900
2053,Klientu servisa vadītājs,1140
2054,Veselības centra vadītājs,2100
2055,Mašīnmācīšanās inženieris/-e,2300
2056,Tirdzniecības pārstāvis Zemgalē,1900
2057,Bite One IT biznesa klientu vadītājs/-a,2750
2058,SEO Web Developer,2400
2059,Sistēmu analītiķis/-e,2800
2060,Biroja vadītājs/-a,1200
2061,Datu aizsardzības speciālists/-e,3750
2062,Senior Node.js Developer,4250
2063,Tax Manager,8000
2064,Senior Golang Developer,4250
2065,Software Development Engineer in Test,5125
2066,PĀRDOŠANAS/PRODUKTU VADĪTĀJA ASISTENTS-/E (2 VAKANCES),1550
2067,Mazo un vidējo uzņēmumu pārdošanas pārvaldes vadītājs/a,2500
2068,Pārdošanas speciālists/-e Zvanu centrā (Vidzemes reģionā),1400
2069,"Business Development Manager, Baltics / Biznesa attīstības vadītājs/-a Baltijā",4250
2070,Kvalitātes vadības sistēmas vadītājs/-a,2150
2071,Mēbeļu konstruktors,1600
2072,Production Manager / Ražošanas vadītājs/-a,2650
2073,Atbilstības un AML vadītājs/-a,3355
2074,IKT & IoT biznesa virziena attīstības vadītājs/-a,3500
2075,Autoparka tehniskais speciālists/-e (ar vācu valodas zināšanām),2000
2076,Grāmatveža palīgs,1000
2077,Ekspeditors,2050
2078,Vecākais sistēmu inženieris/-e,3100
2079,Pārdošanas projektu vadītājs/-a,2500
2080,"KEY-ACCOUNT MANAGER  (Central and Western Europe, Middle Asia)",2500
2081,Chief Technology Officer (CTO),6250
2082,Executive Business Assistant,3000
2083,Galvenais grāmatvedis/-e,3000
2084,Konstruktors/-e,1985
2085,Bērza saplākšņa tirdzniecības vadītājs,4250
2086,"Accounts Payables Accountant, Tietoevry Latvia",1400
2087,Finanšu un digitalizācijas vadītājs,4400
2088,SEO specialist,2400
2089,Viesmīlības pakalpojumu speciālists,280
2090,Zemgales rajona tiesas (Jēkabpilī) arhivāra amats  (uz nenoteiktu laiku),1062
2091,Senior Product Designer,3000
2092,"Darba aizsardzības koordinators/-e (Latvijā: Rēzekne, Kuldīga, Rīga)",2200
2093,"Darba aizsardzības koordinators/-e (Latvijā: Kuldīga, Rēzekne, Rīga)",2200
2094,Office Administrator,1300
2095,"Maiņu vadītājs Rīgā, T/C Mols",1175
2096,Logistics Specialist,2125
2097,IT Sistēmanalītiķis/-e,2650
2098,Marketing Intern (paid),750
2099,Logistics Project Manager,2750
2100,IT Application Analyst,2700
2101,Atslēdznieks,1875
2102,REĢIONA VADĪTĀJS/A Pārdošanas nodaļā (Starptautiskiem tirgiem),2800
2103,Personāla speciālists,1600
2104,Autoparka attīstības vadītājs/-a,3750
2105,IT Project Manager,3000
2106,Senior Data Engineer,4750
2107,Grāmatvede-uzskaitvede,1275
2108,Maiņas vadītājs/-a (veikalā),1230
2109,Vecākais kasieris/-e,1041
2110,Nodaļu pārzinis/-e,1041
2111,Junior Digital Marketing Specialist,1950
2112,Measurer - Installer for France,1900
2113,ADMINISTRATĪVAIS VADĪTĀJS-/A,3000
2114,.NET Team Lead / .NET komandas vadītājs/-a,6250
2115,Inventarizators/-re,1000
2116,Pārskatu departamenta vecākais eksperts,1600
2117,"AEM Frontend Developer, Reporting System",4600
2118,"Salesforce Associate, Poland Latvia Bulgaria",2000
2119,"Norwegian Speaking Customer Support Specialist,Tietoevry Banking",2725
2120,Senior specialist in International Payment investigation Team,1900
2121,Automehāniķis,4078
2122,Arhitekts,3000
2123,Tirdzniecības pārstāvis/e,1600
2124,Izmaksu kontrolieris/-e,1675
2125,"Pārdevējs/-a Apdares materiālu nodaļā Maskavas ielā 418a, Rīgā",240
2126,Pārdošanas un klientu attiecību speciālists/-e,1750
2127,Elektro sadaļņu projektētājs/-a,1500
2128,Jaunākais/-ā digitālā mārketinga speciālists/-e,1500
2129,Jurists/-e,1700
2130,"Lauksaimniecības tehnikas mehāniķis Viduslatvijā (Madona, Aizkraukle, Ilūkste, Jaunjelgava)",2350
2131,"Farmaceits/-e un Farmaceita asistents/-e Rīgā, Rīgas rajonā",1500
2132,Farmaceits/-e un Farmaceita asistents/-e Liepājā,1600
2133,Pārdošanas pārstāvis,1800
2134,Operators Asfaltbetona ražošanas rūpnīcā,400
2135,Accounts Payable Coordinator,1125
2136,Rīgas filiāles vadītājs/-a,2500
2137,Noliktavas pārzinis/-e,1300
2138,Customer Service Specialist - Airbnb Team,1150
2139,SISTĒMU ANALĪTIĶIS/-E,3000
2140,Klientu atbalsta operators (daļēja slodze),1350
2141,Accountant,2000
2142,Saimniecības vadītājs/-a,1700
2143,Pakalpojumu ierīkošanas inženieris/-e Rīgā,1500
2144,Iepakošanas ceha un noliktavas vadītājs/-a,2750
2145,"Tirdzniecības pārstāvis/-e (Rīga, Ādaži)",1350
2146,Industriālo projektu vadītājs,2500
2147,MIG/MAG metinātājs/-a,640
2148,Director of Continuous Improvement,5250
2149,Junior Finnish Speaking IT Support Specialist,1600
2150,Būvdarbu vadītājs/-a,2500
2151,Būvdarbu vadītāja palīgs/-dze,1400
2152,Juriskonsults/-e,2250
2153,Senior IT Specialist,3250
2154,Administrators ekspedīcijas nodaļā,1325
2155,B2B Pārdošanas projektu menedžeris,2500
2156,Attīstības tehnologs/-ģe,1400
2157,Pārdošanas pārstāvis/-e (B2B),2150
2158,Senior IT Business Analyst,3850
2159,Apdares materiālu pārdošanas speciālists/-e,1890
2160,Risk Analyst,2550
2161,Market Researcher,2150
2162,Senior System Analyst (with Product Owner skills),3300
2163,Eksporta projektu vadītājs/-a,1800
2164,Pārdošanas speciālists/-e www.220.lv (Akropole),1025
2165,Vides pārvaldības speciālists/-e,1900
2166,Marketing Project Manager,2150
2167,Tehniskais inženieris (Vangažos),2600
2168,Jurista palīgs/-dze,1350
2169,Galvenais mehāniķis (Jēkabpils),2900
2170,Siltumenerģētiķis (Jēkabpilī),2750
2171,Personāla vadības speciālists (uz noteiktu laiku),1850
2172,Funkcionālais/ā konsultants/e,3000
2173,IT User Support Specialist,1883
2174,Legal and Compliance Lawyer,3200
2175,Noliktavas darbinieks/-ce,1000
2176,Parādu piedziņas speciālists/-e,1300
2177,Informācijas tehnoloģiju struktūrvienības vadītājs/-a,4800
2178,Galvenais inženieris,1471
2179,Jaunākais Starptautisko Zīmolu vadītājs/-a,2800
2180,Būvinženieris,1800
2181,Loģistikas - Noliktavas speciālists,1800
2182,Crew Control Officer,1500
2183,Administrators - Datu apstrādes speciālists,1800
2184,Uzkopšanas darbu meistars,1315
2185,Account manager in Promotions department,1885
2186,Finanšu analītiķis,2000
2187,Back-end programmētājs/a,3150
2188,Vides aizsardzības vecākais speciālists,1700
2189,.NET Developer (Senior OR Lead),5500
2190,PROJEKTĒŠANAS INŽENIERIS/(-E) ELEKTROAPGĀDES TĪKLU PROJEKTĒŠANĀ,2150
2191,AWS Cloud Architect,3562
2192,Biznesa analītiķis/-e (IT),2750
2193,"Global Facility Manager, Tietoevry Banking",3800
2194,Darba aizsardzības koordinators/-e (Latvijā),2200
2195,Projektu vadītājs,1400
2196,Struktūrvienības vadītājs,1500
2197,Filiāļu un struktūrvienību direktors,2850
2198,Pārdošanas projektu vadītājs,1750
2199,Pasākumu projektu vadītājs,2050
2200,Projektu vadītājs/-a (elektroapgādes / vājstrāvas tīklu jomā),3000
2201,Saldēšanas un dzesēšanas  sistēmu tehniķis,1795
2202,Galvenais grāmatvedis/-e,3050
2203,Grafiskais dizaineris/-e,1500
2204,Inženieris/-e – enerģētiķis/-e,2090
2205,Loģistikas speciālists,2500
2206,Ekspeditors / Pārdošanas speciālists,2400
2207,Senior Software Engineer (PHP),4000
2208,"PHP Developer (""Middle"")",2750
2209,Tirdzniecības pārstāvis/-e (Kurzeme),1462
2210,Middle PSP Project Manager,3000
2211,Iepirkuma speciālists/-e / Rezerves daļu pircējs/-a,2250
2212,Preču kategorijas vadītājs/-a,2000
2213,Country Manager - Scandinavia,3250
2214,Office administrator,1600
2215,Biroja vadītājs/-a,1250
2216,Video Specialist,1000
2217,Apaļkoku mērnieks koklaukumā Rīgā,1396
2218,Finnish speaking game presenter,2925
2219,Vadītāja asistents/-e,1400
2220,Biroja administrātors,1000
2221,Facilities and Maintenance Coordinator,1677
2222,Stjuarts/e // Cabin Crew,1500
2223,Vecākais remontatslēdznieks-mehatroniķis/-e,1800
2224,Business Development Manager in Payment Department,3300
2225,Internship in HR department (data analytics),700
2226,Personāla speciālists/-e,2000
2227,Klientu piesaistes vadītājs,2050
2228,"Saziņas menedžeris (pilna vai nepilna slodze,attālināti)",750
2229,Farmaceits/e un Farmaceita asistents/e Tukumā,1300
2230,Konferenču un rezervāciju aģents/-e,1525
2231,"Rakstnieks, satura veidotājs (attālināti)",950
2232,SEO Specialist,1950
2233,Internal Auditor,2450
2234,Sales Development Representative,3150
2235,Computer Operator/Operation Specialist,1200
2236,Technical Support Specialist (night shifts),1400
2237,HoReCa tirdzniecības pārstāvis/-e Rīgā,2000
