"Kods","Nosaukums","Apraksts","Vecāks"
"6340","Personiskā patēriņa zvejnieki, mednieki un vācēji","Šīs atsevišķās grupas apraksts un profesionālās darbības pamatuzdevumi atbilst 634 mazajai grupai.","634"
"6340 01","Meža un pļavas velšu VĀCĒJS","","6340"
"7","Kvalificēti strādnieki un amatnieki","PROFESIJU SEPTĪTĀ PAMATGRUPA""7 Kvalificēti strādnieki un amatnieki""Septītās pamatgrupas ""7 Kvalificēti strādnieki un amatnieki"" profesijās nodarbinātie savas speciālās zināšanas izmanto būvniecības, metālapstrādes un mašīnu apkalpošanas nozarēs, mašīnu un darbarīku ražošanā, veicot iespieddarbus, pārstrādājot produktus, kā arī ražojot izstrādājumus no auduma, ādas, māla, metāla, ziediem vai citiem materiāliem. Darbi tiek veikti ar rokām vai mehāniskām ierīcēm, ko izmanto fiziskā spēka un laika patēriņa samazināšanai, kā arī izstrādājumu kvalitātes uzlabošanai. Šiem strādniekiem un amatniekiem jāzina ražošanas process, izmantojamie materiāli un ierīces, kā arī galaprodukta īpašības un lietojamība.Septītās pamatgrupas ""7 Kvalificēti strādnieki un amatnieki"" profesijas klasificētas šādās grupās:apakšgrupa ""71 Būvnieki un tiem radniecīgu profesiju strādnieki (izņemot elektriķus)"";mazā grupa ""711 Būvnieki un tiem radniecīgu profesiju strādnieki"";mazā grupa ""712 Apdares būvdarbu strādnieki un tiem radniecīgu profesiju strādnieki"";mazā grupa ""713 Krāsotāji, būvju konstrukciju tīrītāji un tiem radniecīgu profesiju strādnieki"";apakšgrupa ""72 Metālapstrādes, mašīnbūves un tām radniecīgu jomu strādnieki"";mazā grupa ""721 Valcētāji, skārdnieki un metāla konstrukciju montētāji, metāllējēji, metinātāji un tiem radniecīgu profesiju strādnieki"";mazā grupa ""722 Kalēji, instrumentu izgatavotāji un tiem radniecīgu profesiju strādnieki"";mazā grupa ""723 Mašīnu mehāniķi un remontatslēdznieki"";apakšgrupa ""73 Amatnieki un iespieddarbu strādnieki"";mazā grupa ""731 Amatnieki"";mazajā grupā ""732 Iespieddarbu strādnieki"";apakšgrupa ""74 Elektrisko un elektronisko iekārtu strādnieki"";mazā grupa ""741 Elektroiekārtu uzstādītāji un labotāji"";mazā grupa ""742 Elektronisko un telesakaru iekārtu mehāniķi un labotāji"";apakšgrupa ""75 Pārtikas produktu pārstrādes un kokapstrādes strādnieki, apģērbu izgatavošanas un citi amatnieki un tiem radniecīgu profesiju strādnieki"";mazā grupa ""751 Pārtikas pārstrādes strādnieki un tiem radniecīgu profesiju strādnieki"";mazā grupa ""752 Kokapstrādes strādnieki, mēbeļu izgatavotāji un tiem radniecīgu profesiju strādnieki"";mazā grupa ""753 Apģērbu izgatavotāji un tiem radniecīgu profesiju strādnieki"";mazā grupa ""754 Citi amatnieki un strādnieki"".",""
"71","Būvnieki un tiem radniecīgu profesiju strādnieki (izņemot elektriķus)","Septītās pamatgrupas apakšgrupas ""71 Būvnieki un tiem radniecīgu profesiju strādnieki (izņemot elektriķus)"" profesijas klasificētas šādās mazajās grupās:mazā grupa ""711 Būvnieki un tiem radniecīgu profesiju strādnieki"";mazā grupa ""712 Apdares būvdarbu strādnieki un tiem radniecīgu profesiju strādnieki"";mazā grupa ""713 Krāsotāji, būvju konstrukciju tīrītāji un tiem radniecīgu profesiju strādnieki"".","7"
"711","Būvnieki un tiem radniecīgu profesiju strādnieki"," PROFESIJU MAZĀ GRUPA""711 Būvnieki un tiem radniecīgu profesiju strādnieki""Mazās grupas ""711 Būvnieki un tiem radniecīgu profesiju strādnieki"" profesijās nodarbinātie veic būvdarbus, ēku remontu un tehnisko apkalpi, no tradicionāliem un netradicionāliem būvmateriāliem ceļ un remontē ēkas un citas celtnes, veido nesējkonstrukcijas (pamatus, sienas), noklāj ēku sienas, grīdas un griestus ar plāksnēm, mūrē krāsnis (arī rūpnieciskās), dūmvadus un kamīnus, bruģē celiņus, mūrē dārzu mūrus un citus dekoratīvos elementus, būvē dzelzsbetona karkasus un citas konstrukcijas, gatavo veidnes dzelzsbetona lējumiem, veic cementēšanas darbus, lej aku grodus, veic būvgaldniecības darbus, ceļ koka ēkas, izgatavo koka izstrādājumus būvniecībai, izgatavo koka detaļas gaisa kuģiem, kuģiem, vilcieniem, iestiklo logus.Mazās grupas ""711 Būvnieki un tiem radniecīgu profesiju strādnieki"" profesijas klasificētas šādās atsevišķajās grupās:atsevišķā grupa ""7111 Ēku būvnieki"";atsevišķā grupa ""7112 Mūrnieki un tiem radniecīgu profesiju strādnieki"";atsevišķā grupa ""7113 Akmeņu mūrnieki un akmeņkaļi"";atsevišķā grupa ""7114 Betonētāji un tiem radniecīgu profesiju strādnieki"";atsevišķā grupa ""7115 Namdari un būvgaldnieki"";atsevišķā grupa ""7119 Citur neklasificēti būvnieki un tiem radniecīgu profesiju strādnieki"".Mazās grupas ""711 Būvnieki un tiem radniecīgu profesiju strādnieki"" un minēto atsevišķo grupu profesijām atbilstošās kvalifikācijas pamatprasības:zina: darbā izmantojamo tehnisko līdzekļu darbības principus un lietošanas noteikumus, savstarpēji saistīto darba procesu izpildes secību, to racionālu organizāciju, darba režīmus, nozares terminoloģiju, ar nozari saistītos tiesību aktus un standartus, darba un vides aizsardzības normatīvo aktu prasības, darba tiesisko attiecību normas, profesionālās ētikas pamatprincipus un uzvedības normas;prot: izmantot praksē teorētiskās zināšanas un tās nepārtraukti papildināt, izmantot informācijas tehnoloģijas, pašizglītoties, pilnveidot profesionālās prasmes un iemaņas;atbild: par savas profesionālās darbības rezultātiem, par veikto pamatuzdevumu izpildes norisi un radītajām sekām, par paša pieņemtajiem lēmumiem, par uzticētajiem darba līdzekļiem un priekšmetiem, par citu savā darbībā skarto personu drošību, par darba aizsardzības instrukciju un darba disciplīnas ievērošanu;izglītība: pamata vai vidējās pakāpes profesionālā izglītība, arodizglītība.","71"
"7111","Ēku būvnieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""7111 Ēku būvnieki""Atsevišķās grupas ""7111 Ēku būvnieki"" profesijās nodarbinātie sagatavo būvlaukumus, būvē ēkas un citas celtnes, veido sienas, liek grīdas un klāj jumtus.Atsevišķās grupas ""7111 Ēku būvnieki"" profesijas un atbilstoši pamatuzdevumi:– sagatavot būvlaukumus; veikt būvdarbus; atlasīt materiālus un veikt to pirmapstrādi; ierīkot ēku pamatus; uzstādīt metāla un koka sienu, starpsienu un griestu karkasus; montēt ģipškartona plāksnes; ierīkot sausās grīdas, uzstādīt logu un durvju blokus, palodzes; būvēt dažādu veidu un konstrukciju ēku pamatus, sienas, ēkas stāvus, starpsienas, griestus, vienkāršas grīdas, jumta konstrukcijas; siltināt sienas un grīdas; uzstādīt logu un durvju blokus, palodzes; veikt ēkas būvelementu ķīmiskās apstrādes darbus; veikt ēkas būvelementu konservācijas darbus; montēt būvniecības detaļas, kas izgatavotas no koka un koka materiāliem, alumīnija, nerūsējošā tērauda, krāsainajiem metāliem, keramikas, plastmasas un citiem materiāliem; veikt ārējo un iekšējo sienu apšuvuma, starpsienu konstrukciju, piekārto griestu, grīdu konstrukciju, logu, durvju un citu konstrukciju montāžas darbus ar sausbūves tehnoloģijām, darbā izmantojot ģipškartonu, metāla karkasa profilus un izolācijas materiālus, ģipsi, ģipša lējumus un dekoratīvos dizaina elementus; veikt virsmu apdari – špaktelēšanu, apmešanu, kā arī siltināšanu no iekšpuses un ārpuses, ievērojot būvfizikālās, dizaina projekta, akustikas, ugunsdrošības un siltumtehnikas prasības; veikt izolācijas darbus; lasīt darba rasējumus; pārzināt darbu tehnoloģisko procesu un to pareizu secību; plānot darba procesu; atlasīt materiālus un veikt to pirmapstrādi.","711"
"7111 01","Ēku CELTNIEKS","","7111"
"7111 02","BŪVNIEKS","","7111"
"7111 03","Būvkonstrukciju MONTĒTĀJS","","7111"
"7111 04","Sausbūves MONTĒTĀJS","","7111"
"7111 05","Metāla būvkonstrukciju MONTĒTĀJS","","7111"
"7111 06","Dzelzsbetona būvkonstrukciju MONTĒTĀJS","","7111"
"7111 07","Stikloto būvkonstrukciju MONTĒTĀJS","","7111"
"7111 08","Koka būvkonstrukciju MONTĒTĀJS","","7111"
"7112","Mūrnieki un tiem radniecīgu profesiju strādnieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""7112 Mūrnieki un tiem radniecīgu profesiju strādnieki""Atsevišķās grupas ""7112 Mūrnieki un tiem radniecīgu profesiju strādnieki"" profesijās nodarbinātie būvē un remontē ķieģeļu un citu materiālu celtnes, klāj bruģakmeni, gājēju celiņu plāksnes, mūrē dārzu mūrus un citus dekoratīvos elementus.Atsevišķās grupas ""7112 Mūrnieki un tiem radniecīgu profesiju strādnieki"" profesijas un atbilstoši pamatuzdevumi:– veikt dažādu mūra armētu un nearmētu pamatu, sienu, stabu, starpsienu, pārsedžu, arku, velvju un citu būvkonstrukciju mūrēšanu, kā arī mūra remontdarbus; mūrēt kamīnus, krāsnis, dūmeņus; klāt celiņus; klāt no ugunsizturīgiem ķieģeļiem velves un arkas kuģu katlos un krāsnīs; aplikt ar ugunsizturīgu materiālu kuģu katlu un krāšņu dūmvadus; veikt bruģēšanas darbus.","711"
"7112 01","BRUĢĒTĀJS","","7112"
"7112 02","Krāšņu PODNIEKS","","7112"
"7112 03","MŪRNIEKS","","7112"
"7112 05","Kausu ODERĒTĀJS","","7112"
"7112 06","Kamīnu LICĒJS","","7112"
"7112 07","Kuģu katlu un krāšņu MŪRNIEKS","","7112"
"7113","Akmeņu mūrnieki un akmeņkaļi"," PROFESIJU ATSEVIŠĶĀ GRUPA""7113 Akmeņu mūrnieki un akmeņkaļi""Atsevišķās grupas ""7113 Akmeņu mūrnieki un akmeņkaļi"" profesijās nodarbinātie šķeļ akmens bluķus, apstrādā tos ar rokas instrumentiem, veido skulptūras no tiem vai izmanto tos būvniecībā, veic akmens mūra darbus.Atsevišķās grupas ""7113 Akmeņu mūrnieki un akmeņkaļi"" profesijas un atbilstoši pamatuzdevumi:– šķelt, griezt, urbt un slīpēt granīta, marmora un citus akmens bluķus; uzstādīt skulptūras un pieminekļus; griezt akmens plāksnes; veikt akmens mūra darbus un remontdarbus.","711"
"7113 01","AKMEŅKALIS","","7113"
"7113 02","Akmeņu MŪRNIEKS","","7113"
"7114","Betonētāji un tiem radniecīgu profesiju strādnieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""7114 Betonētāji un tiem radniecīgu profesiju strādnieki""Atsevišķās grupas ""7114 Betonētāji un tiem radniecīgu profesiju strādnieki"" profesijās nodarbinātie izgatavo betona grīdas, bunkurus un citas būves un veic citus betonēšanas darbus.Atsevišķās grupas ""7114 Betonētāji un tiem radniecīgu profesiju strādnieki"" profesijas un atbilstoši pamatuzdevumi:– būvlaukumā ēku, autoceļu, dzelzceļu un hidrotehnisko būvju būvniecības darbos veikt betona un dzelzsbetona konstrukciju betonēšanu vai izgatavot betona konstrukcijas būvizstrādājumu ražotnē; betonēt grīdas un sienas; veikt līdzīga satura uzdevumus.","711"
"7114 01","BETONĒTĀJS","","7114"
"7114 02","STIEGROTĀJS","","7114"
"7115","Namdari un būvgaldnieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""7115 Namdari un būvgaldnieki""Atsevišķās grupas ""7115 Namdari un būvgaldnieki"" profesijās nodarbinātie izgatavo un montē dažādu konstrukciju koka ēkas, veido koka sienas, jumta konstrukcijas, izgatavo un uzstāda koka, alumīnija, nerūsējošā tērauda, plastmasas, krāsaino metālu un cita materiāla logus un durvis, veic koka ēku remontdarbus, ierīko siltumizolāciju, skaņas, ugunsdrošības un citu izolāciju, montē gatavās detaļas, galvenokārt plākšņu veida būvniecības detaļas, kas paredzētas griestu un sienu apšūšanai, vieglo starpsienu ierīkošanai, montē un demontē dramatisko uzvedumu dekorācijas uz skatuves.Atsevišķās grupas ""7115 Namdari un būvgaldnieki"" profesijas un atbilstoši pamatuzdevumi:– izgatavot un uzstādīt dažādu konstrukciju koka ēkas un būvelementus; veidot skices; atlasīt kokmateriālus atbilstoši projektam un veikt to pirmapstrādi; būvēt ēkas pamatus, koka karkasa, vairoga un guļbūves ēku stāvus, starpsienas, griestus, vienkāršas grīdas, jumta konstrukcijas; siltināt sienas un grīdas; veikt koka izstrādājumu remontdarbus; izgatavot un montēt, kā arī uzstādīt objektā dažādu veidu un konstrukciju koka būvizstrādājumus, tai skaitā kāpnes, logu un durvju blokus un citus izstrādājumus; izgatavot būvizstrādājumus uz tehnoloģiskajām līnijām vai kokapstrādes darbmašīnām, veikt nepieciešamos apdares, aizsardzības, montāžas un regulēšanas darbus; izgatavot un montēt būvniecības detaļas, tai skaitā logus un durvis, kas izgatavotas no koka, alumīnija, nerūsējošā tērauda, krāsainajiem metāliem, keramikas, plastmasas; savienot celtnes daļas, kas sastāv no ģipškartona plāksnēm, minerālšķiedras materiāliem; izgatavot vieglās starpsienas, ieskaitot nepieciešamo durvju un stiklojumu iebūvēšanu, kam arī jānodrošina skaņas izolācija un ugunsdrošība; iebūvēt izolācijas materiālus; montēt un demontēt dramatisko uzvedumu dekorācijas uz skatuves; montēt koka kuģu būvkonstrukcijas; sagatavot koka kuģus transportēšanai pa sauszemi un nogādāšanai pasūtītājam; pieņemt pasūtījumu, konsultēt klientu, izstrādāt būvizstrādājuma skici, sagatavot izstrādājuma kalkulāciju un nodot darbu pasūtījumu klientam.","711"
"7115 01","NAMDARIS","","7115"
"7115 02","Guļbūves ēku CELTNIEKS","","7115"
"7115 03","Koka ēku CELTNIEKS","","7115"
"7115 04","BūvGALDNIEKS","","7115"
"7115 05","Skatuves MONTĒTĀJS","","7115"
"7115 06","Skatuves MEISTARS","","7115"
"7115 08","Koka kuģu BŪVĒTĀJS","","7115"
"7115 09","Būvizstrādājumu GALDNIEKS","","7115"
"7119","Citur neklasificēti būvnieki un tiem radniecīgu profesiju strādnieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""7119 Citur neklasificēti būvnieki un tiem radniecīgu profesiju strādnieki""Atsevišķās grupas ""7119 Citur neklasificēti būvnieki un tiem radniecīgu profesiju strādnieki"" profesijās nodarbinātie veic dažādus māju, pagrabu, garāžu un citu telpu būvdarbus un remontdarbus, veic tiltu, satiksmes pārvadu un gājēju tuneļu (mākslīgu būvju) remontdarbus, veic ūdensvadu un kanalizācijas tīklu izbūvi un remontu, veic dažādas tehnoloģiskas operācijas augstumā un grūti pieejamās vietās, izmantojot alpīnisma iemaņas un alpīnismam paredzēto aprīkojumu, kā arī vada ražošanas procesu.Atsevišķās grupas ""7119 Citur neklasificēti būvnieki un tiem radniecīgu profesiju strādnieki"" profesijas un atbilstoši pamatuzdevumi:– veikt dažādu palīgtelpu būvdarbus; veikt remontdarbus; organizēt padoto darbinieku darbu; sagatavot būvlaukumus, montēt sastatnes; montēt drenāžas un kanalizācijas būves; veikt remonta būvdarbus, pārbaudes un tehnisko uzraudzību augstceltnēs, konstrukcijās, radiotorņos, balstos, uz tiltiem, skursteņos, šahtās, tuneļos un citur; veikt kravu pacelšanu, izmantojot pacelšanas mehānismus/sistēmas; veikt ēku nojaukšanu; veikt tīrīšanas darbus; atlasīt materiālus un veikt to pirmapstrādi; veikt hidroizolācijas darbus un betonēšanas darbus; piedalīties pāļu dzīšanas darbos; mūrēt; gatavot veidņus; veikt uz tiltiem, satiksmes pārvadiem un gājēju tuneļos (mākslīgās būvēs) avārijas dienesta dežūras un remontdarbus; veikt ceļu satiksmes negadījumu seku likvidācijas darbus; veikt sniega izvešanu no mākslīgām būvēm, smilts un nogulšņu savākšanu no mākslīgām būvēm un ielām, zāles pļaušanas darbus, metināšanas darbus un atkritumu urnu uzstādīšanu; uzraudzīt un organizēt būvniecības procesu; izstrādāt nepieciešamo dokumentāciju; ar ledus ēvelēm veidot (būvēt) ledus trases virāžu ledus profilus; atbrīvot ledus trasi no sniega, uzsalumiem un svešķermeņiem; ar traktoru un ledus frēzi sagatavot ledus virsmu ledus trases taisnajos posmos un starta zonās; nodrošināt būvuzraudzības procesu saskaņā ar būvuzrauga norādījumiem; veikt būvdarbu kontroli saskaņā ar būvuzrauga norādījumiem; veikt būvniecības procesa rezultātu kontroli un uzskaiti; veikt būvdarbu izpildes kvalitātes, materiālu un tehnoloģiju atbilstības kontroli objektā; veikt dokumentu un informācijas plūsmas organizēšanu un kontroli.","711"
"7119 01","Drenu LICĒJS","","7119"
"7119 02","Sastatņu MONTĒTĀJS","","7119"
"7119 03","BRIGADIERIS (būvniecības jomā)","","7119"
"7119 04","Inženiertehnisko būvju BRIGADIERIS","","7119"
"7119 05","Industriālais ALPĪNISTS","","7119"
"7119 07","Mākslīgo būvju būvSTRĀDNIEKS","","7119"
"7119 08","Mākslīgo būvju STRĀDNIEKS","","7119"
"7119 13","Ugunsdzēsības sistēmu MONTĒTĀJS","","7119"
"7119 15","Ledus MEISTARS","","7119"
"7119 16","BūvUZRAUGA PALĪGS ","","7119"
"712","Apdares būvdarbu strādnieki un tiem radniecīgu profesiju strādnieki"," PROFESIJU MAZĀ GRUPA""712 Apdares būvdarbu strādnieki un tiem radniecīgu profesiju strādnieki""Mazās grupas ""712 Apdares būvdarbu strādnieki un tiem radniecīgu profesiju strādnieki"" profesijās nodarbinātie veic noslēguma būvdarbus.Mazās grupas ""712 Apdares būvdarbu strādnieki un tiem radniecīgu profesiju strādnieki"" profesijas klasificētas šādās atsevišķajās grupās:atsevišķā grupa ""7121 Jumiķi"";atsevišķā grupa ""7122 Grīdu seguma klājēji un flīzētāji"";atsevišķā grupa ""7123 Apmetēji"";atsevišķā grupa ""7124 Izolācijas darbu veicēji"";atsevišķā grupa ""7125 Stiklinieki"";atsevišķā grupa ""7126 Sanitārtehniķi"";atsevišķā grupa ""7127 Gaisa kondicionēšanas un atdzesēšanas iekārtu mehāniķi"".Mazās grupas ""712 Apdares būvdarbu strādnieki un tiem radniecīgu profesiju strādnieki"" un minēto atsevišķo grupu profesijām atbilstošās kvalifikācijas pamatprasības:zina: darbā izmantojamo tehnisko līdzekļu darbības principus un lietošanas noteikumus, savstarpēji saistīto darba procesu izpildes secību, darba režīmus, nozares terminoloģiju, ar nozari saistītos tiesību aktus un standartus, darba un vides aizsardzības normatīvo aktu prasības, darba tiesisko attiecību normas, profesionālās ētikas pamatprincipus un uzvedības normas;prot: izmantot praksē teorētiskās zināšanas un nepārtraukti tās papildināt, izmantot informācijas tehnoloģijas, pašizglītoties, pilnveidot profesionālās prasmes un iemaņas;atbild: par savas profesionālās darbības rezultātiem, par veikto pamatuzdevumu izpildes norisi un radītajām sekām, par paša pieņemtajiem lēmumiem, par uzticētajiem darba līdzekļiem un priekšmetiem, par citu savā darbībā skarto personu drošību, par darba aizsardzības instrukciju un darba disciplīnas ievērošanu;izglītība: pamata vai vidējās pakāpes profesionālā izglītība, arodizglītība.","71"
"7121","Jumiķi"," PROFESIJU ATSEVIŠĶĀ GRUPA""7121 Jumiķi""Atsevišķās grupas ""7121 Jumiķi"" profesijā nodarbinātie veic jumta konstrukciju izbūvi un ierīko dakstiņu, bitumena, metāla, akmens šķeldas, koka skaidu un dēlīšu, niedru, sintētiskās šķiedras materiālu un citu segumu jumtus.Atsevišķās grupas ""7121 Jumiķi"" profesija un atbilstoši pamatuzdevumi:– sagatavot sastatnes vai kāpnes; noteikt nepieciešamos materiālus; izbūvēt jumta konstrukcijas; klāt dažādu materiālu jumtus; iestrādāt jumta logus, skursteņus un ventilācijas šahtas; ierīkot dažādu veidu hidroizolāciju, siltumizolāciju un skaņas izolāciju; montēt ūdens novadīšanas sistēmas.","712"
"7121 01","JUMIĶIS","","7121"
"7122","Grīdu seguma klājēji un flīzētāji"," PROFESIJU ATSEVIŠĶĀ GRUPA""7122 Grīdu seguma klājēji un flīzētāji""Atsevišķās grupas ""7122 Grīdu seguma klājēji un flīzētāji"" profesijās nodarbinātie sagatavo grīdas laukumu parketa, plāksnīšu vai cita seguma likšanai un liek grīdas, klāj sienas ar plāksnītēm, flīzēm vai citu segumu.Atsevišķās grupas ""7122 Grīdu seguma klājēji un flīzētāji"" profesijas un atbilstoši pamatuzdevumi:– sagatavot pamatnes grīdu ieklāšanai, sienas flīzēšanai; klāt parketu, paklāju, linoleju un citus grīdas segumus, klāt flīzes un tamlīdzīgus apdares materiālus; veikt mozaīkas darbus; organizēt darbu atbilstoši darba aizsardzības noteikumiem un tehnoloģijas prasībām; izvēlēties un sagatavot materiālus.","712"
"7122 01","Grīdas KLĀJĒJS","","7122"
"7122 02","FLĪZĒTĀJS","","7122"
"7122 03","Mozaīkas KLĀJĒJS","","7122"
"7122 04","Parketa KLĀJĒJS","","7122"
"7123","Apmetēji"," PROFESIJU ATSEVIŠĶĀ GRUPA""7123 Apmetēji""Atsevišķās grupas ""7123 Apmetēji"" profesijās nodarbinātie apmet sienas un griestus, veido un atjauno dekoratīvos ornamentus, veido ārējo apmetumu, veic visu veidu iekšējos apdares darbus.Atsevišķās grupas ""7123 Apmetēji"" profesijas un atbilstoši pamatuzdevumi:– sagatavot virsmu apmešanai; veikt apmetēja darbus; veikt visu veidu iekšējos sienas, griestu, grīdas apdares darbus; krāsot logus un durvis; montēt un atjaunot dekoratīvās detaļas.","712"
"7123 01","APMETĒJS","","7123"
"7123 02","Apdares darbu STRĀDNIEKS","","7123"
"7123 03","Dekoratīvo būvelementu VEIDOTĀJS","","7123"
"7124","Izolācijas darbu veicēji"," PROFESIJU ATSEVIŠĶĀ GRUPA""7124 Izolācijas darbu veicēji""Atsevišķās grupas ""7124 Izolācijas darbu veicēji"" profesijās nodarbinātie veido sienu un griestu, kā arī cauruļu un katlu izolāciju ar uzpūšanas un citiem paņēmieniem.Atsevišķās grupas ""7124 Izolācijas darbu veicēji"" profesijas un atbilstoši pamatuzdevumi:– noteikt izolācijas materiālu daudzumu; griezt izolācijas materiālus pēc lieluma un formas; iestrādāt izolācijas materiālus; veikt izolācijas darbus.","712"
"7124 01","Hidro- un siltumIZOLĒTĀJS","","7124"
"7124 03","Ēku SILTINĀTĀJS","","7124"
"7124 04","IZOLĒTĀJS","","7124"
"7125","Stiklinieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""7125 Stiklinieki""Atsevišķās grupas ""7125 Stiklinieki"" profesijā nodarbinātie stiklo logus, durvis, izgatavo dekoratīvos logus un vitrāžas.Atsevišķās grupas ""7125 Stiklinieki"" profesija un atbilstoši pamatuzdevumi:– izvēlēties stikla veidu; griezt stiklu; veikt stiklošanas darbus; uzstādīt vai aizstāt stiklus transportlīdzekļos.","712"
"7125 01","STIKLINIEKS","","7125"
"7126","Sanitārtehniķi","PROFESIJU ATSEVIŠĶĀ GRUPA""7126 Sanitārtehniķi""Atsevišķās grupas ""7126 Sanitārtehniķi"" profesijās nodarbinātie veic ūdensvadu un kanalizācijas iekārtu, ūdensapgādes un kanalizācijas cauruļvadu, iekārtu montēšanu un remontu, iekārto kolektorus un ūdens maģistrāles.Atsevišķās grupas ""7126 Sanitārtehniķi"" profesijas un atbilstoši pamatuzdevumi:– griezt, liekt caurules, uzgriezt vītnes; montēt cauruļvadus; veikt ēku ūdensapgādes, kanalizācijas un ventilācijas tīklu, iekārtu un ēku iekšējo siltumapgādes tīklu, iekārtu un individuālo ēku siltuma avotu, apkures cauruļvadu un armatūras montāžu, apkopi un remontu; atbilstoši tehniskajam uzdevumam veikt konkrētu iekšējo un ārējo inženierkomunikāciju montāžas, ekspluatācijas un remonta darbus, tai skaitā siltumapgādes, apkures, vēdināšanas, gaisa kondicionēšanas, dzesēšanas, ūdensapgādes, ugunsdzēsības, kanalizācijas, gāzes apgādes un citās inženierkomunikāciju tehnoloģiskās sistēmās, izmantojot atbilstošas iekārtas, instrumentus un tehnoloģiskos paņēmienus; veikt montāžas un demontāžas darbus, regulēšanas, pielāgošanas, testēšanas un pārbaudes darbus saskaņā ar normatīvajiem aktiem, būvnormatīviem, tehnisko projektu un darba devēja prasībām; montēt metāla un dzelzsbetona konstrukcijas; siet stiegras; būvēt caurtekas un hidrobūves; būvēt un kvalificēti remontēt ūdensapgādes un kanalizācijas maģistrālo cauruļvadu tīklus un ar tiem saistītās sistēmas.","712"
"7126 01","SANTEHNIĶIS","","7126"
"7126 02","Sanitārtehnisko iekārtu MONTĒTĀJS","","7126"
"7126 04","Apkures sistēmu MONTĒTĀJS","","7126"
"7126 05","Ūdens apgādes un kanalizācijas sistēmu MONTĒTĀJS","","7126"
"7126 06","Inženierkomunikāciju MONTĒTĀJS","","7126"
"7126 07","Cauruļvadu MONTĒTĀJS","","7126"
"7126 08","Ārējo ūdensapgādes un kanalizācijas tīklu MONTĒTĀJS","","7126"
"7126 09","Ārējo gāzes tīklu MONTĒTĀJS","","7126"
"7126 10","Ārējo siltumapgādes tīklu MONTĒTĀJS","","7126"
"7126 11","Gāzes sistēmu MONTĒTĀJS","","7126"
"7127","Gaisa kondicionēšanas un atdzesēšanas iekārtu mehāniķi"," PROFESIJU ATSEVIŠĶĀ GRUPA""7127 Gaisa kondicionēšanas un atdzesēšanas iekārtu mehāniķi""Atsevišķās grupas ""7127 Gaisa kondicionēšanas un atdzesēšanas iekārtu mehāniķi"" profesijās nodarbinātie apkalpo, regulē un remontē ventilācijas, gaisa kondicionēšanas un dzesēšanas sistēmas un aprīkojumu.Atsevišķās grupas ""7127 Gaisa kondicionēšanas un atdzesēšanas iekārtu mehāniķi"" profesijas un atbilstoši pamatuzdevumi:– veikt saldēšanas, gaisa kondicionēšanas un ventilācijas iekārtu un to apkalpojošo elektrisko, elektronisko, pneimatisko un hidraulisko vadības sistēmu tehnisko ekspluatāciju, tehnisko apkopi un remontu, nodrošināt kravu transportēšanai un uzglabāšanai nepieciešamo režīmu; apkalpot un remontēt apkures, gaisa kondicionēšanas un dzesēšanas iekārtas; izpildīt metālapstrādes darbus – metināšanas, virpošanas, kniedēšanas vai aizlodēšanas darbus; konstatēt defektus un veikt iekārtu ikdienas uzturēšanu vai apkopi.","712"
"7127 01","Kondicionēšanas un aukstumiekārtu sistēmu MONTĒTĀJS","","7127"
"7127 03","Aukstumiekārtu MEHĀNIĶIS","","7127"
"7127 04","Vēdināšanas sistēmu MONTĒTĀJS ","","7127"
"7127 05","Kuģa saldēšanas iekārtu MEHĀNIĶIS","","7127"
"7127 06","Gaisa kondicionēšanas mehānismu MEHĀNIĶIS","","7127"
"7127 07","Apkures, ventilācijas un saldēšanas iekārtu MEHĀNIĶIS","","7127"
